Fiscal Year,TIF Number,TIF District,Type,Activity,Amount
2003,T-041,Ryan/Garfield,Expenditures,Financing,-289856
2005,T-041,Ryan/Garfield,Expenditures,Financing,-291550
2004,T-041,Ryan/Garfield,Expenditures,Financing,-286505
2007,T-041,Ryan/Garfield,Expenditures,Financing,-289595
2006,T-041,Ryan/Garfield,Expenditures,Financing,-289106
2001,T-041,Ryan/Garfield,Expenditures,Financing,-295476
2002,T-042,Sanitary Drainage and Ship Canal,Expenditures,Financing,-556050
2010,T-042,Sanitary Drainage and Ship Canal,Expenditures,Financing,-747000
2005,T-042,Sanitary Drainage and Ship Canal,Expenditures,Financing,-611075
2001,T-042,Sanitary Drainage and Ship Canal,Expenditures,Financing,-554913
2008,T-042,Sanitary Drainage and Ship Canal,Expenditures,Financing,-675550
2004,T-042,Sanitary Drainage and Ship Canal,Expenditures,Financing,-619513
2006,T-042,Sanitary Drainage and Ship Canal,Expenditures,Financing,-610925
2007,T-042,Sanitary Drainage and Ship Canal,Expenditures,Financing,-679225
2003,T-042,Sanitary Drainage and Ship Canal,Expenditures,Financing,-552050
2009,T-042,Sanitary Drainage and Ship Canal,Expenditures,Financing,-674938
2012,T-042,Sanitary Drainage and Ship Canal,Expenditures,Financing,-741750
2013,T-042,Sanitary Drainage and Ship Canal,Expenditures,Financing,-1174475
2011,T-042,Sanitary Drainage and Ship Canal,Expenditures,Financing,-745925
2002,T-093,South Chicago,Expenditures,Financing,-40233
2003,T-093,South Chicago,Expenditures,Financing,-196108
2007,T-093,South Chicago,Expenditures,Financing,-868890
2005,T-093,South Chicago,Expenditures,Financing,-196108
2004,T-093,South Chicago,Expenditures,Financing,-196109
2006,T-093,South Chicago,Expenditures,Financing,-196109
2003,T-044,Stockyards Industrial Commercial,Expenditures,Financing,-1593226
2002,T-044,Stockyards Industrial Commercial,Expenditures,Financing,-1814251
2006,T-044,Stockyards Industrial Commercial,Expenditures,Financing,-1844534
2009,T-044,Stockyards Industrial Commercial,Expenditures,Financing,-1558105
2005,T-044,Stockyards Industrial Commercial,Expenditures,Financing,-1824567
2001,T-044,Stockyards Industrial Commercial,Expenditures,Financing,-1765468
2010,T-044,Stockyards Industrial Commercial,Expenditures,Financing,-1741938
2007,T-044,Stockyards Industrial Commercial,Expenditures,Financing,-2693209
2008,T-044,Stockyards Industrial Commercial,Expenditures,Financing,-1520721
2004,T-044,Stockyards Industrial Commercial,Expenditures,Financing,-1784101
2000,T-044,Stockyards Industrial Commercial,Expenditures,Financing,-1595527
2011,T-044,Stockyards Industrial Commercial,Expenditures,Financing,-1859310
1998,T-044,Stockyards Industrial Commercial,Expenditures,Financing,-1041479
1999,T-044,Stockyards Industrial Commercial,Expenditures,Financing,-1277437
2007,T-045,Stockyards Southeast Quadrant Industrial,Expenditures,Financing,-11506124
2010,T-045,Stockyards Southeast Quadrant Industrial,Expenditures,Financing,-659499
2004,T-045,Stockyards Southeast Quadrant Industrial,Expenditures,Financing,-2076980
2005,T-045,Stockyards Southeast Quadrant Industrial,Expenditures,Financing,-2030681
2008,T-045,Stockyards Southeast Quadrant Industrial,Expenditures,Financing,-648218
2002,T-045,Stockyards Southeast Quadrant Industrial,Expenditures,Financing,-2055065
2003,T-045,Stockyards Southeast Quadrant Industrial,Expenditures,Financing,-1979257
2006,T-045,Stockyards Southeast Quadrant Industrial,Expenditures,Financing,-2069493
2009,T-045,Stockyards Southeast Quadrant Industrial,Expenditures,Financing,-648619
2001,T-045,Stockyards Southeast Quadrant Industrial,Expenditures,Financing,-2003699
1999,T-045,Stockyards Southeast Quadrant Industrial,Expenditures,Financing,-1784263
1998,T-045,Stockyards Southeast Quadrant Industrial,Expenditures,Financing,-1392832
2011,T-045,Stockyards Southeast Quadrant Industrial,Expenditures,Financing,-2530014
2000,T-045,Stockyards Southeast Quadrant Industrial,Expenditures,Financing,-1801360
2004,T-054,Stony Island Avenue Commercial and Burnside Industrial Corridors,Expenditures,Financing,-175368
2003,T-054,Stony Island Avenue Commercial and Burnside Industrial Corridors,Expenditures,Financing,-159171
2001,T-054,Stony Island Avenue Commercial and Burnside Industrial Corridors,Expenditures,Financing,-140444
2002,T-054,Stony Island Avenue Commercial and Burnside Industrial Corridors,Expenditures,Financing,-137875
2006,T-054,Stony Island Avenue Commercial and Burnside Industrial Corridors,Expenditures,Financing,-679026
2005,T-054,Stony Island Avenue Commercial and Burnside Industrial Corridors,Expenditures,Financing,-167059
2009,T-146,Touhy/Western,Expenditures,Financing,-412563
2008,T-146,Touhy/Western,Expenditures,Financing,-381079
2007,T-146,Touhy/Western,Expenditures,Financing,-359550
2014,T-146,Touhy/Western,Expenditures,Financing,-2062763
2013,T-146,Touhy/Western,Expenditures,Financing,-1849346
2010,T-146,Touhy/Western,Expenditures,Financing,-774183
2011,T-146,Touhy/Western,Expenditures,Financing,-1912284
2012,T-146,Touhy/Western,Expenditures,Financing,-1926452
2003,T-084,Western Avenue North,Expenditures,Financing,-149770
2005,T-084,Western Avenue North,Expenditures,Financing,-149770
2004,T-084,Western Avenue North,Expenditures,Financing,-149770
2002,T-084,Western Avenue North,Expenditures,Financing,-20000
2006,T-084,Western Avenue North,Expenditures,Financing,-149770
2007,T-084,Western Avenue North,Expenditures,Financing,-747852
2008,T-085,Western Avenue South,Expenditures,Financing,-1792903
2005,T-085,Western Avenue South,Expenditures,Financing,-408736
2003,T-085,Western Avenue South,Expenditures,Financing,-498737
2004,T-085,Western Avenue South,Expenditures,Financing,-408737
2007,T-085,Western Avenue South,Expenditures,Financing,-408736
2006,T-085,Western Avenue South,Expenditures,Financing,-408737
2002,T-065,Woodlawn,Expenditures,Financing,-481257
2001,T-065,Woodlawn,Expenditures,Financing,-400000
2003,T-065,Woodlawn,Expenditures,Financing,-330175
2001,T-001,35th/Halsted,Expenditures,Site assembly & prep.,-30000
2008,T-001,35th/Halsted,Expenditures,Site assembly & prep.,-22470
2010,T-055,43rd/Cottage Grove,Expenditures,Site assembly & prep.,-222825
2005,T-117,47th/Ashland,Expenditures,Site assembly & prep.,-106045
2008,T-060,71st/Stony Island,Expenditures,Site assembly & prep.,-20546
2004,T-061,Bronzeville,Expenditures,Site assembly & prep.,-133209
2001,T-014,Central Loop,Expenditures,Site assembly & prep.,-233143
2002,T-014,Central Loop,Expenditures,Site assembly & prep.,-61377
2004,T-014,Central Loop,Expenditures,Site assembly & prep.,-20000
2006,T-086,Central West,Expenditures,Site assembly & prep.,-76183
2004,T-086,Central West,Expenditures,Site assembly & prep.,-66782
2010,T-086,Central West,Expenditures,Site assembly & prep.,-3786
2007,T-086,Central West,Expenditures,Site assembly & prep.,-349756
2008,T-086,Central West,Expenditures,Site assembly & prep.,-65137
2008,T-021,Englewood Mall,Expenditures,Site assembly & prep.,-39040
2008,T-106,Englewood Neighborhood,Expenditures,Site assembly & prep.,-66041
2007,T-106,Englewood Neighborhood,Expenditures,Site assembly & prep.,-49167
2008,T-087,Fullerton/Milwaukee,Expenditures,Site assembly & prep.,-61202
2007,T-087,Fullerton/Milwaukee,Expenditures,Site assembly & prep.,-74876
2006,T-108,Humboldt Park Commercial,Expenditures,Site assembly & prep.,-36720
2007,T-108,Humboldt Park Commercial,Expenditures,Site assembly & prep.,-500580
2004,T-052,Kinzie Industrial Corridor,Expenditures,Site assembly & prep.,-23654
2006,T-052,Kinzie Industrial Corridor,Expenditures,Site assembly & prep.,-40000
2008,T-126,Madden/Wells,Expenditures,Site assembly & prep.,-55141
2006,T-095,Midwest,Expenditures,Site assembly & prep.,-20000
2008,T-031,Near South,Expenditures,Site assembly & prep.,-24641
2003,T-031,Near South,Expenditures,Site assembly & prep.,-38824
2007,T-031,Near South,Expenditures,Site assembly & prep.,-220563
2004,T-031,Near South,Expenditures,Site assembly & prep.,-865
2006,T-031,Near South,Expenditures,Site assembly & prep.,-944452
2002,T-031,Near South,Expenditures,Site assembly & prep.,-72164
2001,T-031,Near South,Expenditures,Site assembly & prep.,-85616
2008,T-032,Near West,Expenditures,Site assembly & prep.,-331761
2006,T-100,Ohio/Wabash,Expenditures,Site assembly & prep.,-136392
2008,T-069,Pulaski Corridor,Expenditures,Site assembly & prep.,-335000
2009,T-069,Pulaski Corridor,Expenditures,Site assembly & prep.,-179764
2004,T-069,Pulaski Corridor,Expenditures,Site assembly & prep.,-20000
2005,T-110,Wilson Yard,Expenditures,Site assembly & prep.,-445894
2007,T-110,Wilson Yard,Expenditures,Site assembly & prep.,-163198
2006,T-110,Wilson Yard,Expenditures,Site assembly & prep.,-61689
2014,T-104,River West,Expenditures,Job training,-38934
2010,T-002,"Forty-first Street and Dr. Martin Luther King, Jr. Drive",Expenditures,Development,-67509
2006,T-002,"Forty-first Street and Dr. Martin Luther King, Jr. Drive",Expenditures,Development,-75620
2007,T-002,"Forty-first Street and Dr. Martin Luther King, Jr. Drive",Expenditures,Development,-70446
2003,T-002,"Forty-first Street and Dr. Martin Luther King, Jr. Drive",Expenditures,Development,-70518
2004,T-002,"Forty-first Street and Dr. Martin Luther King, Jr. Drive",Expenditures,Development,-102710
2008,T-002,"Forty-first Street and Dr. Martin Luther King, Jr. Drive",Expenditures,Development,-69518
2001,T-002,"Forty-first Street and Dr. Martin Luther King, Jr. Drive",Expenditures,Development,-98826
2002,T-002,"Forty-first Street and Dr. Martin Luther King, Jr. Drive",Expenditures,Development,-173389
2005,T-002,"Forty-first Street and Dr. Martin Luther King, Jr. Drive",Expenditures,Development,-85178
2009,T-002,"Forty-first Street and Dr. Martin Luther King, Jr. Drive",Expenditures,Development,-68540
2014,T-002,"Forty-first Street and Dr. Martin Luther King, Jr. Drive",Expenditures,Development,-77807
2013,T-002,"Forty-first Street and Dr. Martin Luther King, Jr. Drive",Expenditures,Development,-129357
2011,T-002,"Forty-first Street and Dr. Martin Luther King, Jr. Drive",Expenditures,Development,-66424
2005,T-055,43rd/Cottage Grove,Expenditures,Development,-237739
2003,T-055,43rd/Cottage Grove,Expenditures,Development,-219559
2007,T-055,43rd/Cottage Grove,Expenditures,Development,-445574
2009,T-055,43rd/Cottage Grove,Expenditures,Development,-800178
2008,T-055,43rd/Cottage Grove,Expenditures,Development,-256786
2004,T-055,43rd/Cottage Grove,Expenditures,Development,-378241
2006,T-055,43rd/Cottage Grove,Expenditures,Development,-927880
2011,T-055,43rd/Cottage Grove,Expenditures,Development,-528103
2008,T-004,49th Street/St. Lawrence Avenue,Expenditures,Development,-94574
2001,T-004,49th Street/St. Lawrence Avenue,Expenditures,Development,-137649
2004,T-004,49th Street/St. Lawrence Avenue,Expenditures,Development,-107884
2010,T-004,49th Street/St. Lawrence Avenue,Expenditures,Development,-78752
2002,T-004,49th Street/St. Lawrence Avenue,Expenditures,Development,-102377
2009,T-004,49th Street/St. Lawrence Avenue,Expenditures,Development,-85767
2006,T-004,49th Street/St. Lawrence Avenue,Expenditures,Development,-85511
2005,T-004,49th Street/St. Lawrence Avenue,Expenditures,Development,-118722
2007,T-004,49th Street/St. Lawrence Avenue,Expenditures,Development,-96464
2003,T-004,49th Street/St. Lawrence Avenue,Expenditures,Development,-108855
2012,T-004,49th Street/St. Lawrence Avenue,Expenditures,Development,-73948
2013,T-004,49th Street/St. Lawrence Avenue,Expenditures,Development,-68457
2011,T-004,49th Street/St. Lawrence Avenue,Expenditures,Development,-87217
2014,T-004,49th Street/St. Lawrence Avenue,Expenditures,Development,-65669
2004,T-008,95th Street and Stony Island,Expenditures,Development,-715850
2007,T-008,95th Street and Stony Island,Expenditures,Development,-762200
2010,T-008,95th Street and Stony Island,Expenditures,Development,-1084150
2002,T-008,95th Street and Stony Island,Expenditures,Development,-1249900
2008,T-008,95th Street and Stony Island,Expenditures,Development,-533050
2006,T-008,95th Street and Stony Island,Expenditures,Development,-703700
2009,T-008,95th Street and Stony Island,Expenditures,Development,-782000
2003,T-008,95th Street and Stony Island,Expenditures,Development,-650650
2005,T-008,95th Street and Stony Island,Expenditures,Development,-713400
2006,T-067,Archer Courts,Expenditures,Development,-106292
2008,T-067,Archer Courts,Expenditures,Development,-105505
2010,T-067,Archer Courts,Expenditures,Development,-108855
2003,T-067,Archer Courts,Expenditures,Development,-278365
2009,T-067,Archer Courts,Expenditures,Development,-105159
2005,T-067,Archer Courts,Expenditures,Development,-106547
2004,T-067,Archer Courts,Expenditures,Development,-238762
2007,T-067,Archer Courts,Expenditures,Development,-105924
2012,T-067,Archer Courts,Expenditures,Development,-108997
2013,T-067,Archer Courts,Expenditures,Development,-103763
2014,T-067,Archer Courts,Expenditures,Development,-94971
2011,T-067,Archer Courts,Expenditures,Development,-108935
2006,T-061,Bronzeville,Expenditures,Development,-43912
2003,T-013,Bryn Mawr/Broadway,Expenditures,Development,-188534
2005,T-013,Bryn Mawr/Broadway,Expenditures,Development,-186651
2004,T-013,Bryn Mawr/Broadway,Expenditures,Development,-189014
2001,T-013,Bryn Mawr/Broadway,Expenditures,Development,-157515
2010,T-013,Bryn Mawr/Broadway,Expenditures,Development,-173718
2008,T-013,Bryn Mawr/Broadway,Expenditures,Development,-178184
2009,T-013,Bryn Mawr/Broadway,Expenditures,Development,-177379
2002,T-013,Bryn Mawr/Broadway,Expenditures,Development,-190354
2006,T-013,Bryn Mawr/Broadway,Expenditures,Development,-184062
2007,T-013,Bryn Mawr/Broadway,Expenditures,Development,-181240
2011,T-013,Bryn Mawr/Broadway,Expenditures,Development,-169859
2014,T-013,Bryn Mawr/Broadway,Expenditures,Development,-161139
2013,T-013,Bryn Mawr/Broadway,Expenditures,Development,-166057
2012,T-013,Bryn Mawr/Broadway,Expenditures,Development,-168178
2007,T-063,Canal/Congress,Expenditures,Development,-1673119
2006,T-063,Canal/Congress,Expenditures,Development,-1235229
2008,T-063,Canal/Congress,Expenditures,Development,-887397
2001,T-014,Central Loop,Expenditures,Development,-3494707
2008,T-086,Central West,Expenditures,Development,-581694
2007,T-086,Central West,Expenditures,Development,-290884
2003,T-023,Goose Island,Expenditures,Development,-743873
2001,T-023,Goose Island,Expenditures,Development,-465816
2004,T-023,Goose Island,Expenditures,Development,-546973
2008,T-108,Humboldt Park Commercial,Expenditures,Development,-115644
2012,T-108,Humboldt Park Commercial,Expenditures,Development,-190530
2007,T-052,Kinzie Industrial Corridor,Expenditures,Development,-96258
2009,T-052,Kinzie Industrial Corridor,Expenditures,Development,-88128
2010,T-052,Kinzie Industrial Corridor,Expenditures,Development,-41197
2013,T-052,Kinzie Industrial Corridor,Expenditures,Development,-60206
2014,T-052,Kinzie Industrial Corridor,Expenditures,Development,-41420
2012,T-052,Kinzie Industrial Corridor,Expenditures,Development,-42492
2011,T-052,Kinzie Industrial Corridor,Expenditures,Development,-42896
2006,T-119,Lakefront,Expenditures,Development,-56784
2008,T-119,Lakefront,Expenditures,Development,-60232
2007,T-119,Lakefront,Expenditures,Development,-185093
2009,T-119,Lakefront,Expenditures,Development,-51620
2014,T-119,Lakefront,Expenditures,Development,-71689
2011,T-119,Lakefront,Expenditures,Development,-49214
2010,T-119,Lakefront,Expenditures,Development,-49346
2007,T-109,Lawrence/Broadway,Expenditures,Development,-41485
2008,T-109,Lawrence/Broadway,Expenditures,Development,-12943
2007,T-126,Madden/Wells,Expenditures,Development,-276290
2009,T-126,Madden/Wells,Expenditures,Development,-255266
2011,T-126,Madden/Wells,Expenditures,Development,-417525
2010,T-126,Madden/Wells,Expenditures,Development,-35176
2013,T-126,Madden/Wells,Expenditures,Development,-30210
2014,T-126,Madden/Wells,Expenditures,Development,-95210
2007,T-095,Midwest,Expenditures,Development,-107956
2009,T-095,Midwest,Expenditures,Development,-121804
2011,T-095,Midwest,Expenditures,Development,-106222
2014,T-095,Midwest,Expenditures,Development,-75562
2006,T-102,Montclare,Expenditures,Development,-170534
2009,T-102,Montclare,Expenditures,Development,-263973
2007,T-102,Montclare,Expenditures,Development,-214125
2005,T-102,Montclare,Expenditures,Development,-175064
2004,T-102,Montclare,Expenditures,Development,-360000
2008,T-102,Montclare,Expenditures,Development,-279935
2010,T-102,Montclare,Expenditures,Development,-240851
2013,T-102,Montclare,Expenditures,Development,-123746
2014,T-102,Montclare,Expenditures,Development,-64056
2004,T-053,Pilsen Industrial Corridor,Expenditures,Development,-14404637
2010,T-040,Roosevelt-Homan,Expenditures,Development,-67885
2014,T-040,Roosevelt-Homan,Expenditures,Development,-171682
2011,T-040,Roosevelt-Homan,Expenditures,Development,-195655
2009,T-110,Wilson Yard,Expenditures,Development,-11124
2008,T-110,Wilson Yard,Expenditures,Development,-826671
2012,T-114,119th and Halsted,Expenditures,Development,-303741
2009,T-131,35th/State,Expenditures,Development,-242936
2012,T-131,35th/State,Expenditures,Development,-610498
2013,T-131,35th/State,Expenditures,Development,-261025
2011,T-131,35th/State,Expenditures,Development,-255281
2014,T-131,35th/State,Expenditures,Development,-2875823
2010,T-131,35th/State,Expenditures,Development,-318968
2008,T-060,71st/Stony Island,Expenditures,Development,-1000000
2014,T-060,71st/Stony Island,Expenditures,Development,-81934
2012,T-060,71st/Stony Island,Expenditures,Development,-28485
2013,T-060,71st/Stony Island,Expenditures,Development,-27001
2008,T-061,Bronzeville,Expenditures,Development,-43912
2014,T-061,Bronzeville,Expenditures,Development,-82879
2011,T-061,Bronzeville,Expenditures,Development,-27119
2010,T-086,Central West,Expenditures,Development,-274275
2009,T-086,Central West,Expenditures,Development,-341324
2008,T-086,Central West,Expenditures,Development,-96386
2012,T-086,Central West,Expenditures,Development,-267926
2011,T-086,Central West,Expenditures,Development,-137288
2013,T-086,Central West,Expenditures,Development,-58657
2014,T-086,Central West,Expenditures,Development,-166529
2008,T-115,Chicago/Central Park,Expenditures,Development,-500000
2010,T-115,Chicago/Central Park,Expenditures,Development,-225000
2014,T-115,Chicago/Central Park,Expenditures,Development,-639270
2012,T-115,Chicago/Central Park,Expenditures,Development,-632396
2013,T-115,Chicago/Central Park,Expenditures,Development,-714409
2007,T-094,Chicago/Kingsbury,Expenditures,Development,-1669450
2008,T-122,Drexel Boulevard,Expenditures,Development,-9428
2007,T-122,Drexel Boulevard,Expenditures,Development,-72463
2009,T-122,Drexel Boulevard,Expenditures,Development,-483267
2012,T-122,Drexel Boulevard,Expenditures,Development,-564296
2010,T-122,Drexel Boulevard,Expenditures,Development,-433578
2014,T-122,Drexel Boulevard,Expenditures,Development,-320370
2013,T-122,Drexel Boulevard,Expenditures,Development,-357242
2011,T-122,Drexel Boulevard,Expenditures,Development,-260193
2010,T-021,Englewood Mall,Expenditures,Development,-900000
2013,T-106,Englewood Neighborhood,Expenditures,Development,-1000000
2014,T-106,Englewood Neighborhood,Expenditures,Development,-1000000
2014,T-119,Lakefront,Expenditures,Development,-157145
2013,T-119,Lakefront,Expenditures,Development,-46443
2012,T-119,Lakefront,Expenditures,Development,-477100
2007,T-126,Madden/Wells,Expenditures,Development,-17761
2009,T-126,Madden/Wells,Expenditures,Development,-268889
2013,T-126,Madden/Wells,Expenditures,Development,-346061
2011,T-126,Madden/Wells,Expenditures,Development,-298989
2014,T-126,Madden/Wells,Expenditures,Development,-459903
2010,T-126,Madden/Wells,Expenditures,Development,-532346
2012,T-126,Madden/Wells,Expenditures,Development,-495736
2007,T-095,Midwest,Expenditures,Development,-749999
2013,T-102,Montclare,Expenditures,Development,-104783
2012,T-102,Montclare,Expenditures,Development,-275138
2014,T-102,Montclare,Expenditures,Development,-88918
2011,T-102,Montclare,Expenditures,Development,-302031
2005,T-030,Near North,Expenditures,Development,-175852
2006,T-030,Near North,Expenditures,Development,-3392950
2007,T-030,Near North,Expenditures,Development,-4584134
2008,T-030,Near North,Expenditures,Development,-1344743
2013,T-030,Near North,Expenditures,Development,-1643220
2014,T-030,Near North,Expenditures,Development,-1037419
2008,T-031,Near South,Expenditures,Development,-9102959
2009,T-031,Near South,Expenditures,Development,-4897041
2011,T-154,Pershing/King,Expenditures,Development,-722201
2013,T-154,Pershing/King,Expenditures,Development,-170354
2012,T-154,Pershing/King,Expenditures,Development,-4281071
2014,T-069,Pulaski Corridor,Expenditures,Development,-2000000
2008,T-085,Western Avenue South,Expenditures,Development,-66695
2009,T-085,Western Avenue South,Expenditures,Development,-66044
2010,T-085,Western Avenue South,Expenditures,Development,-66978
2014,T-085,Western Avenue South,Expenditures,Development,-61562
2012,T-085,Western Avenue South,Expenditures,Development,-59635
2013,T-085,Western Avenue South,Expenditures,Development,-59320
2011,T-085,Western Avenue South,Expenditures,Development,-3437225
2013,T-111,105th/Vincennes,Transfers,Transfers in,353380
2014,T-111,105th/Vincennes,Transfers,Transfers in,353381
2012,T-111,105th/Vincennes,Transfers,Transfers in,553381
2014,T-114,119th and Halsted,Transfers,Transfers in,97500
2013,T-125,119th/I-57,Transfers,Transfers in,950000
2004,T-072,24th/Michigan,Transfers,Transfers in,5320000
2010,T-072,24th/Michigan,Transfers,Transfers in,4310000
2009,T-072,24th/Michigan,Transfers,Transfers in,4310000
2008,T-072,24th/Michigan,Transfers,Transfers in,7420000
2005,T-072,24th/Michigan,Transfers,Transfers in,3510000
2006,T-072,24th/Michigan,Transfers,Transfers in,3510000
2011,T-072,24th/Michigan,Transfers,Transfers in,4310000
2013,T-072,24th/Michigan,Transfers,Transfers in,43810000
2014,T-072,24th/Michigan,Transfers,Transfers in,23902753
2012,T-072,24th/Michigan,Transfers,Transfers in,4310000
2014,T-131,35th/State,Transfers,Transfers in,2500000
2010,T-117,47th/Ashland,Transfers,Transfers in,1163175
2012,T-117,47th/Ashland,Transfers,Transfers in,218826
2014,T-117,47th/Ashland,Transfers,Transfers in,218570
2013,T-117,47th/Ashland,Transfers,Transfers in,218729
2011,T-117,47th/Ashland,Transfers,Transfers in,218603
2012,T-121,47th/Halsted,Transfers,Transfers in,3950064
2009,T-097,51st/Archer,Transfers,Transfers in,1518151
2007,T-097,51st/Archer,Transfers,Transfers in,2658502
2008,T-097,51st/Archer,Transfers,Transfers in,1514944
2011,T-097,51st/Archer,Transfers,Transfers in,4834995
2014,T-097,51st/Archer,Transfers,Transfers in,2707622
2013,T-097,51st/Archer,Transfers,Transfers in,2695228
2012,T-097,51st/Archer,Transfers,Transfers in,2383126
2010,T-097,51st/Archer,Transfers,Transfers in,2460330
2014,T-143,63rd/Ashland,Transfers,Transfers in,2000000
2013,T-143,63rd/Ashland,Transfers,Transfers in,400000
2013,T-124,67th/Cicero,Transfers,Transfers in,350000
2014,T-124,67th/Cicero,Transfers,Transfers in,2934023
2010,T-060,71st/Stony Island,Transfers,Transfers in,4186662
2007,T-060,71st/Stony Island,Transfers,Transfers in,6381356
2008,T-060,71st/Stony Island,Transfers,Transfers in,3310952
2009,T-060,71st/Stony Island,Transfers,Transfers in,3400487
2011,T-060,71st/Stony Island,Transfers,Transfers in,4317536
2014,T-060,71st/Stony Island,Transfers,Transfers in,5268841
2013,T-060,71st/Stony Island,Transfers,Transfers in,4914483
2012,T-060,71st/Stony Island,Transfers,Transfers in,4318608
2013,T-009,95th and Western,Transfers,Transfers in,1200000
2005,T-067,Archer Courts,Transfers,Transfers in,1793647
2003,T-067,Archer Courts,Transfers,Transfers in,441840
2008,T-099,Archer/Central,Transfers,Transfers in,240000
2010,T-167,Avondale,Transfers,Transfers in,1000000
2012,T-061,Bronzeville,Transfers,Transfers in,2500000
2008,T-013,Bryn Mawr/Broadway,Transfers,Transfers in,287963
2001,T-013,Bryn Mawr/Broadway,Transfers,Transfers in,260283
2007,T-013,Bryn Mawr/Broadway,Transfers,Transfers in,288449
2006,T-013,Bryn Mawr/Broadway,Transfers,Transfers in,342551
2005,T-013,Bryn Mawr/Broadway,Transfers,Transfers in,223355
2002,T-013,Bryn Mawr/Broadway,Transfers,Transfers in,277486
2009,T-013,Bryn Mawr/Broadway,Transfers,Transfers in,143578
2003,T-013,Bryn Mawr/Broadway,Transfers,Transfers in,270986
2004,T-013,Bryn Mawr/Broadway,Transfers,Transfers in,379717
2014,T-059,Calumet Avenue/Cermak Road,Transfers,Transfers in,28000000
2009,T-063,Canal/Congress,Transfers,Transfers in,91731
2003,T-063,Canal/Congress,Transfers,Transfers in,1000000
2008,T-014,Central Loop,Transfers,Transfers in,2900000
2010,T-086,Central West,Transfers,Transfers in,8504376
2007,T-086,Central West,Transfers,Transfers in,7411497
2008,T-086,Central West,Transfers,Transfers in,4217095
2003,T-086,Central West,Transfers,Transfers in,5000000
2001,T-086,Central West,Transfers,Transfers in,5000000
2009,T-086,Central West,Transfers,Transfers in,4220475
2011,T-086,Central West,Transfers,Transfers in,6623760
2012,T-086,Central West,Transfers,Transfers in,17940520
2013,T-086,Central West,Transfers,Transfers in,11698551
2007,T-115,Chicago/Central Park,Transfers,Transfers in,5796217
2008,T-115,Chicago/Central Park,Transfers,Transfers in,5265294
2005,T-115,Chicago/Central Park,Transfers,Transfers in,2646998
2009,T-115,Chicago/Central Park,Transfers,Transfers in,6211282
2013,T-115,Chicago/Central Park,Transfers,Transfers in,7418559
2012,T-115,Chicago/Central Park,Transfers,Transfers in,7089795
2010,T-115,Chicago/Central Park,Transfers,Transfers in,9393305
2011,T-115,Chicago/Central Park,Transfers,Transfers in,7500051
2014,T-115,Chicago/Central Park,Transfers,Transfers in,7072541
2009,T-070,Clark/Montrose,Transfers,Transfers in,2000000
2013,T-134,Devon/Sheridan,Transfers,Transfers in,3136000
2013,T-076,Devon/Western,Transfers,Transfers in,550000
2014,T-076,Devon/Western,Transfers,Transfers in,700000
2014,T-021,Englewood Mall,Transfers,Transfers in,7500000
2011,T-169,Ewing Avenue,Transfers,Transfers in,300000
2013,T-169,Ewing Avenue,Transfers,Transfers in,2734600
2010,T-169,Ewing Avenue,Transfers,Transfers in,1773456
2009,T-087,Fullerton/Milwaukee,Transfers,Transfers in,52044
2010,T-071,Galewood/Armitage Industrial,Transfers,Transfers in,536558
2008,T-071,Galewood/Armitage Industrial,Transfers,Transfers in,314417
2009,T-071,Galewood/Armitage Industrial,Transfers,Transfers in,303656
2007,T-071,Galewood/Armitage Industrial,Transfers,Transfers in,1256363
2011,T-071,Galewood/Armitage Industrial,Transfers,Transfers in,2091175
2012,T-071,Galewood/Armitage Industrial,Transfers,Transfers in,2091841
2013,T-071,Galewood/Armitage Industrial,Transfers,Transfers in,2247003
2014,T-071,Galewood/Armitage Industrial,Transfers,Transfers in,2304932
2014,T-023,Goose Island,Transfers,Transfers in,10000000
2008,T-144,Harrison/Central,Transfers,Transfers in,950000
2013,T-144,Harrison/Central,Transfers,Transfers in,731362
2014,T-144,Harrison/Central,Transfers,Transfers in,1819760
2009,T-157,Hollywood/Sheridan,Transfers,Transfers in,1000000
2008,T-157,Hollywood/Sheridan,Transfers,Transfers in,3000000
2010,T-157,Hollywood/Sheridan,Transfers,Transfers in,700000
2014,T-157,Hollywood/Sheridan,Transfers,Transfers in,500000
2013,T-157,Hollywood/Sheridan,Transfers,Transfers in,3997000
2014,T-024,Homan-Arthington,Transfers,Transfers in,1062798
2010,T-027,Irving/Cicero,Transfers,Transfers in,62947
2005,T-027,Irving/Cicero,Transfers,Transfers in,90000
2006,T-027,Irving/Cicero,Transfers,Transfers in,518497
2009,T-027,Irving/Cicero,Transfers,Transfers in,120000
2011,T-027,Irving/Cicero,Transfers,Transfers in,500000
2006,T-057,Jefferson Park Business District,Transfers,Transfers in,853000
2006,T-101,Jefferson/Roosevelt,Transfers,Transfers in,3500000
2007,T-101,Jefferson/Roosevelt,Transfers,Transfers in,9000000
2014,T-147,LaSalle Central,Transfers,Transfers in,8600000
2013,T-088,Lawrence/Kedzie,Transfers,Transfers in,2500000
2003,T-116,Lawrence/Pulaski,Transfers,Transfers in,400000
2006,T-116,Lawrence/Pulaski,Transfers,Transfers in,2500000
2008,T-077,Lincoln Avenue,Transfers,Transfers in,1203854
2009,T-077,Lincoln Avenue,Transfers,Transfers in,1205798
2010,T-077,Lincoln Avenue,Transfers,Transfers in,651676
